V=7.78635408492e-08 NL=1
V=1.69999433105e-16 NL=2
V=1.67741534435e-16 NL=3
V=1.67600291691e-16 NL=4
V=1.68779149795e-16 NL=5
V=1.71054068533e-16 NL=6
V=1.74368084939e-16 NL=7
V=1.78674400443e-16 NL=8
V=1.83997579e-16 NL=9
V=1.90278328304e-16 NL=10
V=1.97504366377e-16 NL=11
V=2.05694327944e-16 NL=12
V=2.14872353444e-16 NL=13
V=2.24972586065e-16 NL=14
V=2.35997037511e-16 NL=15
V=2.48019293769e-16 NL=16
V=2.60933793358e-16 NL=17
V=2.74833709901e-16 NL=18
V=2.89614117193e-16 NL=19
V=3.0538957644e-16 NL=20
